ID,tel,adresse,specialite
4,2322242318,Addresse 202,Neurologie
31,6219616626,Addresse 302,La dermatologie
20,2252827932,Addresse 822,L'andrologie
40,3794017827,Addresse 100,Stomatologie
199,6150399869,Addresse 100,L'andrologie
23,560457377,Addresse 302,Stomatologie
35,3082765559,Addresse 302,La gériatrie
90,8478791709,Addresse 202,L'allergologie
88,4156270578,Addresse 202,Pédiatrie
76,5892832325,Addresse 100,L'andrologie
9,2287308587,Addresse 202,L'allergologie
84,6756967405,Addresse 202,Pédiatrie
93,7399349738,Addresse 822,Pédiatrie
29,6463426343,Addresse 209,Neurologie
38,498028614,Addresse 100,Pédiatrie
37,8126132474,Addresse 202,La dermatologie
28,3584321736,Addresse 100,L'allergologie
95,7702796084,Addresse 100,La gériatrie
99,7097733069,Addresse 100,Pédiatrie
12,1986949998,Addresse 100,Pédiatrie
73,7968783085,Addresse 822,La dermatologie
