ID_personne,Nom,Prenom,tel,adresse,sexe
811,Matt,George,1911244512,Adresse5,F
711,Ann,Omar,942228240,Adresse5,F
911,Laila,Ali,8019547231,Adresse4,M
688,Matt,Ali,5974928000,Adresse4,F
47,Ann,Matt,8229280313,Adresse1,F
395,Matt,Omar,3859182813,Adresse5,F
564,Laila,Jennifer,5752979202,Adresse3,M
830,Jennifer,Ali,7849309845,Adresse3,M
399,Sam,Ann,4792330449,Adresse4,M
513,Ali,Ali,2389666871,Adresse4,F
739,Matt,Jennifer,1169092148,Adresse4,M
878,Jennifer,Sam,6698537247,Adresse3,M
758,Ann,Ali,7635730878,Adresse3,M
175,George,George,8846434975,Adresse3,M
674,Ali,Jennifer,2595772233,Adresse2,M
478,Jennifer,Ann,4717024293,Adresse5,M
391,Matt,Ali,3365872230,Adresse5,M
35,Laila,George,1253226985,Adresse5,M
845,Matt,Sam,5355090138,Adresse3,M
257,Ahmed,Sam,4937987995,Adresse4,F
876,Ahmed,Omar,3960552108,Adresse3,F
869,Ahmed,Ahmed,5611835287,Adresse3,M
544,Ali,Sam,5184771631,Adresse2,F
771,George,George,940819742,Adresse5,M
53,Laila,Omar,1241415058,Adresse4,F
669,Omar,Laila,4527924541,Adresse10,F
